utteredby	name	fullname	id	address	descr	lat	lon	ialink
afor_av_miriam-tirincanti_01	Via wiligelmo		PL000276	via Wiligelmo, modena		10.9125447	44.6362149	
afor_av_miriam-tirincanti_02	Corso cavour		PL000084			NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_02	Emilia		PL000094			NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_02	Fratellanza		PL000120	Associazione Sportiva La Fratellanza, 76, Via Alfonso Piazza, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41126, Italy		NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_02	Novi sad		PL000169			NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_02	Romagna		PL000205	Romagna, Modigliana, Unione di Comuni della Romagna Forlivese, FC, Emilia-Romagna, 47015, Italy		11.8473191022401	44.13497265	
afor_av_miriam-tirincanti_02	Via albinelli		PL000254	Via Luigi Albinelli, Quartiere Baggiovara, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy		10.9252456	44.6449541	
afor_av_miriam-tirincanti_02	Via corassori		PL000259	via Corassori, modena		10.8986136	44.6429972	
afor_av_paola-nora-e-annamaria-valentini_01	Arbe		PL000008	Via Emilia Ovest, 1014, 41123 Modena MO	fabbrica alla Bruciata dove adesso c'e Bricoman	10.8718612	44.6534714	
afor_av_paola-nora-e-annamaria-valentini_01	Autodromo		PL000016	Parco Enzo Ferrari, modena		10.9074604877685	44.6499674	
afor_av_paola-nora-e-annamaria-valentini_01	Autotrasporti		PL000017		ditta di autotrasporti dietro casa Nora	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Azienda		PL000018		isola ecologica in via Nobili	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Bar		PL000020		non precisato	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Barbiere		PL000021		non precisato	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Bricoman		PL000027	Via Emilia Ovest, 1014, 41123 Modena MO		10.8718612	44.6534714	
afor_av_paola-nora-e-annamaria-valentini_01	Bruciata		PL000028	bruciata, modena		10.8674658	44.6508604	
afor_av_paola-nora-e-annamaria-valentini_01	Campo		PL000032		oltre via nobili, oltre il canale	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Canale		PL000035		in fondo a via nobili	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Canale san pietro		PL000036		in zona Morane (Modena)	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Casa di cura fogliani		PL000043	Via Lodovico Lana, 1, 41124 Modena MO		10.9171507	44.6417407	
afor_av_paola-nora-e-annamaria-valentini_01	Case popolari		PL000044		del villaggio	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Cavalcavia		PL000051		della Madonnina	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Centro		PL000052		centro di Modena	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Centro anziani		PL000053		intendono il circolo di Miriam?	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Chiesa		PL000056		chiesa del Villaggio	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Chiesa grande		PL000057		parrocchia di Gesu redentore	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Comune		PL000072			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Cooperativa		PL000075			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Cooperativa fonditori		PL000077			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Cooperativa tipografi		PL000078			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Fabbro		PL000099			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Falegnami		PL000101		probabilmente i Candi	NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Ferrari		PL000104			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Fonderia di modena		PL000114	Via Giuseppe Zarlati, 84, 41126 Modena MO		10.8961538	44.6513095	
afor_av_paola-nora-e-annamaria-valentini_01	Fonderie		PL000115			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Formigine		PL000117	Formigine, Unione dei comuni del Distretto Ceramico, MO, Emilia-Romagna, 41043, Italy 		10.8458355	44.5776259	
afor_av_paola-nora-e-annamaria-valentini_01	Lar		PL000132	Via Viareggio, Campogalliano, Unione delle Terre d'Argine, MO, Emilia-Romagna, 41011, Italy		10.8137524	44.6935657	
afor_av_paola-nora-e-annamaria-valentini_01	Latteria		PL000134			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Magistrali		PL000140			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Mensa		PL000152			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Musto		PL000162			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Negozio di generi alimentari		PL000164			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Parchetto		PL000177			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Parrocchia		PL000182			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Parrocchia nuova		PL000184			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Passaggio a livello		PL000185			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Ponte		PL000193			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Ponzoni		PL000195			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Posta		PL000196			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Rossi motoriduttori		PL000206			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Salami oleodinamica		PL000212	Via Emilia Ovest, 1006, 41123 Modena MO		10.8737166	44.6535794	
afor_av_paola-nora-e-annamaria-valentini_01	Scuola elementare		PL000223			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Sio		PL000234			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Sternieri		PL000239	Via David Livingstone, 5, 41123 Modena MO		10.8854694	44.6552124	
