from_id	to_id	to_lon	to_lat	from_lon	from_lat
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Via san cataldo	10.9071233	44.6547627	10.894305	44.651143
	Soliera	10.924393	44.7381035	10.894305	44.651143
afor_av_ermanno-salvalai-e-alberto-salvalai_02	America	-100.4458825	39.7837304	10.894305	44.651143
	Anzola	11.194608	44.546367	10.894305	44.651143
	Caprari	10.8802125	44.6563443	10.894305	44.651143
	Cinema principe	10.9338828866439	44.6514181	10.894305	44.651143
	Erma	10.8797523	44.6561538	10.894305	44.651143
	Milano	9.1904984	45.4667971	10.894305	44.651143
	Piazza mazzini	10.9271115804774	44.6466959	10.894305	44.651143
	Giappone	139.2394179	36.5748441	10.894305	44.651143
afor_av_eugenio-ronchetti_02	Via emilio po	10.8996773	44.6499936	10.899752	44.652157
	Vietnam	108.4265113	13.2904027	10.899752	44.652157
	Mbm	10.902386	44.6509988	10.899752	44.652157
afor_av_eugenio-ronchetti_05	Via de' gavasseti	10.9029844	44.6509088	10.901822	44.652992
afor_av_eugenio-ronchetti_06	Tric e trac	10.8875588	44.6487603	10.9011459	44.6543412
afor_av_miriam-tirincanti_01	Asilo	10.9026111	44.6534738	10.90377	44.653198
	Assisi	12.6146669	43.0711952	10.90377	44.653198
	Carpi	10.8854523	44.7835699	10.90377	44.653198
	Cognento	10.8684742	44.6375948	10.90377	44.653198
	Grandemilia	10.854068767777	44.6484094	10.90377	44.653198
	Via wiligelmo	10.9125447	44.6362149	10.90377	44.653198
	Marche	13.1415872	43.3458388	10.90377	44.653198
	Polisportiva di san faustino	10.912137775641	44.63651305	10.90377	44.653198
	Parco sigurtà	10.7341685713398	45.36145395	10.90377	44.653198
	Sacca	10.9313857	44.6627322	10.90377	44.653198
	San faustino	10.9115481	44.6401224	10.90377	44.653198
afor_av_miriam-tirincanti_02	Romagna	11.8473191022401	44.13497265	10.90377	44.653198
	Via albinelli	10.9252456	44.6449541	10.90377	44.653198
	Via corassori	10.8986136	44.6429972	10.90377	44.653198
	Riccione	12.6474368	43.998274	10.90377	44.653198
	Santa caterina	10.9441033	44.6525374	10.90377	44.653198
afor_av_paola-nora-e-annamaria-valentini_01	Arbe	10.8718612	44.6534714	10.901417	44.65391
	Autodromo	10.9074604877685	44.6499674	10.901417	44.65391
	Bricoman	10.8718612	44.6534714	10.901417	44.65391
	Bruciata	10.8674658	44.6508604	10.901417	44.65391
	Casa di cura fogliani	10.9171507	44.6417407	10.901417	44.65391
	Fonderia di modena	10.8961538	44.6513095	10.901417	44.65391
	Formigine	10.8458355	44.5776259	10.901417	44.65391
	Lar	10.8137524	44.6935657	10.901417	44.65391
	Salami oleodinamica	10.8737166	44.6535794	10.901417	44.65391
	Sternieri	10.8854694	44.6552124	10.901417	44.65391
	Via bonacini	10.9411256	44.6424015	10.901417	44.65391
	Via cavour	10.9298475	44.649377	10.901417	44.65391
	Via cesare della chiesa	10.8972134	44.6507474	10.901417	44.65391
	Via leoni	10.9023159	44.6535927	10.901417	44.65391
	Via nicolò biondo	10.8997427	44.6521154	10.901417	44.65391
