video_id	name	id	address	description
nora01	campo	PL000032		oltre via nobili, oltre il canale
fantoni02	Campogalliano	PL000033	campogalliano	
vesce01	Canalchiaro	PL000034	corso canalchiaro, modena	
nora01	canale	PL000035		in fondo a via nobili
nora01	canale San Pietro	PL000036		in zona Morane (Modena)
fantoni02	capitale	PL000037		capitale della Somalia
SALVALAI_02	Caprari	PL000038	Via Emilia Ovest, 900, 41123 Modena MO	
MIRIAM_01_1	Carpi	PL000039	carpi, italy	
vesce02	Carpigiani	PL000040		
vesce02	Carrozzeria Autodromo	PL000041	Via Nicolò Biondo 89, Modena	
vesce02	Carrozzeria Orlandi	PL000042		
nora01	casa di cura Fogliani	PL000043	Via Lodovico Lana, 1, 41124 Modena MO	
nora01	case popolari	PL000044		del villaggio
vesce02	Castelfranco	PL000045	castelfranco emilia	
fantoni02	Castelfranco Emilia	PL000046	castelfranco emilia	
CARLO_CANDI	castello	PL000047		a Santa Severina
fantoni02	Castello Estense	PL000048		a Ferrara
CARLO_CANDI	castello svevo	PL000049		a Santa Severina
CARLO_CANDI	Catanzaro	PL000050	catanzaro, italy	
nora01	cavalcavia	PL000051		della Madonnina
nora01	centro	PL000052		centro di Modena
nora01	centro anziani	PL000053		intendono il circolo di Miriam?
EUGENIO_RONCHETTI_03	centro civico	PL000054		sempre in via de' Gavasseti
CARLO_CANDI	chiesa	PL000055		a Santa Severina
nora01	chiesa	PL000056		chiesa del Villaggio
nora01	chiesa grande	PL000057		parrocchia di Gesu redentore
vesce01	chiesina	PL000058		
SALVALAI_02	CIFA	PL000059		
RITA_RONCHETTI_1	Cile	PL000060	Chile	
SALVALAI_02	cinema Principe	PL000061	Piazza Natale Bruni, 41121 Modena MO	
CARLO_CANDI	circolo	PL000062		al Villaggio
CARLO_CANDI	circolo ARCI	PL000063		circolo di Miriam
fantoni02	circolo velico	PL000065		ai laghetti di Campogalliano
vesce01	città	PL000066		
vesce02	Cittadella	PL000067		
MIRIAM_01_1	Cognento	PL000068	Cognento, MO, Emilia-Romagna, 41123, Italy	
fantoni02	collegio	PL000069		in Somalia (capitale)
vesce01	collegio	PL000070		
CARLO_CANDI	comunale	PL000071		a Firenze
nora01	Comune	PL000072		
CARLO_CANDI	conservatorio Cherubini	PL000073	Conservatorio Luigi Cherubini, Via di Rocca Tedalda, Quartiere 2, Florence, Metropolitan City of Florence, Tuscany, 50136, Italy	a Firenze
MIRIAM_01_1	Coop	PL000074		ex coop del Villaggio
nora01	cooperativa	PL000075		
vesce02	Cooperativa Autodromo	PL000076		
nora01	Cooperativa Fonditori	PL000077		
nora01	Cooperativa Tipografi	PL000078		
SALVALAI_01	Corassori	PL000079		
fantoni02	Corea	PL000080		
MOGLIE_MAESTRO	Coris	PL000081		
SALVALAI_01	Corni	PL000082		
fantoni02	corriere	PL000083		ancora il costruttore di autobus nel villaggio
MIRIAM_02_1	Corso Cavour	PL000084		
EGENIO_RONCHETTI_02	cortile	PL000085		cortile della chiesa
CARLO_CANDI	Crotone	PL000086	Corso Cavour	
RITA_RONCHETTI_1	DAMS	PL000087	DAMS, Via Collegio di Spagna, Saragozza-Porto, Bologna, BO, Emilia-Romagna, 40123, Italy	
fantoni02	diga	PL000088		in Somalia
vesce01	diocesi di Modena	PL000089		
MOGLIE_MAESTRO	distributore	PL000090		al Villaggio
SALVALAI_02	distributore	PL000091		
CARLO_CANDI	duomo	PL000092		di Firenze
MOGLIE_MAESTRO	elementari	PL000093		parla delle vecchie elementari (sopra all'Indusnova?)
MIRIAM_02_1	Emilia	PL000094		
Speaker	Entity	Cat. ID		Notes
SALVALAI_02	Erma	PL000095	Via Emilia Ovest, 910, 41123 Modena MO	
fantoni02	Europa	PL000096		
MIRIAM_01_1	Eurospar	PL000097		di fianco al cavalcavia della Madonnina
MOGLIE_MAESTRO	fabbrica	PL000098		indusnova? era sede di una scuola
nora01	fabbro	PL000099		
MIRIAM_01_1	Falc	PL000100		
nora01	falegnami	PL000101		probabilmente i Candi
SALVALAI_02	ferramenta	PL000102		
fantoni02	Ferrara	PL000103	ferrara, italy	
nora01	Ferrari	PL000104		
nora02	ferrovia	PL000105		
RITA_RONCHETTI_1	FIAT	PL000106		
vesce01	Fidenza	PL000107	fidenza, italy	
CARLO_CANDI	Fiesole	PL000108	fiesole, italy	
fantoni02	Finlandia	PL000109	Finlandia	
SALVALAI_01	Fiori	PL000110		
CARLO_CANDI	Firenze	PL000111	Firenze, italy	
CARLO_CANDI	Fiumalbo	PL000112	Fiumalbo, Unione dei comuni del Frignano, MO, Emilia-Romagna, 41022, Italy	
fantoni02	Fonderia	PL000113		Fonderia Ponzoni
nora01	fonderia di Modena	PL000114	Via Giuseppe Zarlati, 84, 41126 Modena MO	
nora01	fonderie	PL000115		
fantoni02	Foresta Nera	PL000116	Foresta Nera	
nora01	Formigine	PL000117	Formigine, Unione dei comuni del Distretto Ceramico, MO, Emilia-Romagna, 41043, Italy	
vesce01	Fossa	PL000118		
vesce02	Francia	PL000119	France	
MIRIAM_02_1	Fratellanza	PL000120	Associazione Sportiva La Fratellanza, 76, Via Alfonso Piazza, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41126, Italy	
RITA_RONCHETTI_1	Freto	PL000121	Freto, MO, Emilia-Romagna, 41123, Italy	
RITA_RONCHETTI_1	Gaiato	PL000122	Gaiato, Pavullo nel Frignano, Unione dei comuni del Frignano, MO, Emilia-Romagna, Italy	
fantoni02	Galleria Estense	PL000123	337, Largo Porta Sant’Agostino, Quartiere Cittanova, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
fantoni02	Germania	PL000124	Germania	
vesce01	Gino Nasi	PL000125	Via Tarquinia, 55, 41125 Modena MO	
MIRIAM_01_1	Grandemilia	PL000126	Centro Commerciale GrandEmilia, Viale Catullo, Cittanova, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy	
RITA_RONCHETTI_1	Grecia	PL000127	Grecia	
vesce01	Gregoriana	PL000128		
nora01	Indusonva	PL000129		
fantoni02	istituto tecnico	PL000130		a Modena -> il Corni
vesce01	Italia	PL000131	Italia	
nora01	Lar	PL000132	Via Viareggio, Campogalliano, Unione delle Terre d'Argine, MO, Emilia-Romagna, 41011, Italy	
MIRIAM_01_1	lattaia	PL000133		sempre al villaggio
nora01	latteria	PL000134		
fantoni02	Libia	PL000135	libia	
vesce01	liceo classico	PL000136		
SALVALAI_02	liceo Tassoni	PL000137	Liceo Scientifico Statale Alessandro Tassoni, 66, Viale Virginia Reiter, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
